"cnty_fips","display_name","Value","theme_range"
48123,"""DeWitt, (TX)""",78.9,"78.0 - 88.4 (638)"
48127,"""Dimmit, (TX)""",73.6,"70.6 - 77.9 (646)"
48131,"""Duval, (TX)""",72.5,"70.6 - 77.9 (646)"
48135,"""Ector, (TX)""",77,"70.6 - 77.9 (646)"
48137,"""Edwards, (TX)""",74.1,"70.6 - 77.9 (646)"
48141,"""El Paso, (TX)""",56.7,"0.0 - 61.8 (645)"
48145,"""Falls, (TX)""",91.1,"88.5 - 173.8 (642)"
48149,"""Fayette, (TX)""",70.6,"70.6 - 77.9 (646)"
48157,"""Fort Bend, (TX)""",64.7,"61.9 - 70.5 (645)"
48161,"""Freestone, (TX)""",86.9,"78.0 - 88.4 (638)"
48163,"""Frio, (TX)""",88.8,"88.5 - 173.8 (642)"
48167,"""Galveston, (TX)""",87.2,"78.0 - 88.4 (638)"
48171,"""Gillespie, (TX)""",58.5,"0.0 - 61.8 (645)"
48173,"""Glasscock, (TX)""",67.9,"61.9 - 70.5 (645)"
48175,"""Goliad, (TX)""",71.3,"70.6 - 77.9 (646)"
48177,"""Gonzales, (TX)""",76.7,"70.6 - 77.9 (646)"
48185,"""Grimes, (TX)""",70.6,"70.6 - 77.9 (646)"
48187,"""Guadalupe, (TX)""",59.8,"0.0 - 61.8 (645)"
48193,"""Hamilton, (TX)""",80.2,"78.0 - 88.4 (638)"
48199,"""Hardin, (TX)""",75.6,"70.6 - 77.9 (646)"
48201,"""Harris, (TX)""",78.7,"78.0 - 88.4 (638)"
48209,"""Hays, (TX)""",67.3,"61.9 - 70.5 (645)"
48215,"""Hidalgo, (TX)""",47.7,"0.0 - 61.8 (645)"
48217,"""Hill, (TX)""",94.9,"88.5 - 173.8 (642)"
48225,"""Houston, (TX)""",93.7,"88.5 - 173.8 (642)"
48229,"""Hudspeth, (TX)""",56.2,"0.0 - 61.8 (645)"
48235,"""Irion, (TX)""",78.9,"78.0 - 88.4 (638)"
48239,"""Jackson, (TX)""",80.1,"78.0 - 88.4 (638)"
48241,"""Jasper, (TX)""",114.1,"88.5 - 173.8 (642)"
48243,"""Jeff Davis, (TX)""",55.6,"0.0 - 61.8 (645)"
